Lista de comprobación y resultados de las pruebas: pruebas de diseño,,,,
,,,,
№,Descripción de la supervisión,Estado de la versión 1 Google Chrome 800x600,Estado de la versión 2 Firefox 1920x1080,Enlace al informe de errores
73,"El texto ""Si"" se encuentra centrado",OMITIDO,OMITIDO,
74,"Al dar clic en el botón ""Si"" aparece una ventana emergente con fondo de color blanco ",OMITIDO,OMITIDO,
75,"La ventana emergente tiene el texto ""Viaje cancelado"" con tamaño de letra mediano y color negro ",OMITIDO,OMITIDO,
76,"El texto ""Viaje cancelado"" se encuentra centrado ",OMITIDO,OMITIDO,
77,"Debajo del texto ""Viaje cancelado"" aparece un botón con fondo de color azul ",OMITIDO,OMITIDO,
78,"En el botón de color azul aparece el texto ""Entendido"" en tamaño de letra pequeño y color blanco ",OMITIDO,OMITIDO,
79,"El texto ""Entendido"" se encuentra centrado",OMITIDO,OMITIDO,
80,"En el mapa aparece el punto ""Desde"" señalado con un punto de color blanco",NO APROBADO,NO APROBADO,
81,"La dirección agregada en ""Desde"" aparece en color negro al lado del ícono de posición ",NO APROBADO,NO APROBADO,
82,"En el mapa aparece el punto ""Hasta"" señalado con un ícono de posición en color rojo sin ningún texto en su interior",NO APROBADO,NO APROBADO,
83,"La dirección agregada en ""Hasta"" aparece en color negro al lado del ícono de posición ",NO APROBADO,NO APROBADO,
84,El recorrido que hará el vehículo aparece en el mapa en color azul ,APROBADO,APROBADO,
85,Los diferentes vehículos en el mapa se muestran en color azul con detalles negros ,NO APROBADO,NO APROBADO,
86,Al encontrar el vehículo este aparece más grande que los demás ,OMITIDO,OMITIDO,
87,Aparece un ícono en color negro encima del vehículo seleccionado ,OMITIDO,OMITIDO,
88,En el ícono de color negro aparece el nombre del modelo del vehículo en letras blancas,OMITIDO,OMITIDO,
89,"Cuando se abren las ventanas emergentes, el fondo se torna con un color gris transparente ",APROBADO,APROBADO,
